effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,(Intercept),1.500356563509645,1.1859082825608667,0.5132764911593887,0.6077579262083077,0.3187056583577488,7.063162383956275
fixed,GroupHC,1.064545832527545,0.345432630704481,0.19275969744524032,0.8471471682534939,0.5635850338663886,2.010801851456599
fixed,age,0.9375119564867571,0.02233913139703188,-2.7079691498427314,0.006769631482676916,0.894734734031685,0.9823343557874012
fixed,sexM,1.3164882291044593,0.2500795636211357,1.4475065962335834,0.1477550903424436,0.9072418690395575,1.9103409096466941
fixed,race_whiteNon-White,1.470362916627427,0.2777360612097389,2.0409251367898498,0.041258268854507486,1.0154102403729677,2.129156296275885
fixed,clgry_total_baseline,1.1082961209229454,0.03470222085658914,3.283917475379403,0.001023748949618818,1.0423259840819301,1.1784415916050865
fixed,bprs_total_baseline,0.9801199563863955,0.015189698418659308,-1.2956881924042905,0.19508293095623827,0.9507963038726038,1.0103479840994252
fixed,oasis_total_baseline,1.0051862373229856,0.027369705683758978,0.18997875690967295,0.8493257769032748,0.9529488693530945,1.0602870775107243
fixed,study_day,1.0163375846077647,0.0022943730562591832,7.178571933668741,7.044332491318122e-13,1.0118506298633316,1.0208444363234346
fixed,stress_lag1,1.0252396782817077,0.02603244245558339,0.9816809365274239,0.32625705991903875,0.9754658375235883,1.0775532647987396
fixed,ndvi_lag1,0.8020307805960994,0.30734448245208346,-0.5756883587835685,0.5648258452806318,0.37844601101718717,1.6997229572975343
